date,value
2016-05-09,3732
2016-05-10,11799
2016-05-11,10845
2016-05-12,14123
2016-05-13,10225
2016-05-14,15116
2016-05-15,15935
2016-05-16,16430
2016-05-17,16832
2016-05-18,7744
2016-05-19,15650
2016-05-20,18089
2016-05-21,19983
2016-05-22,11327
2016-05-23,19606
2016-05-24,3897
2016-05-25,17921
2016-05-26,7216
2016-05-27,7921
2016-05-28,7036
2016-05-29,3163
2016-05-30,6072
2016-05-31,5851
2016-06-01,8877
2016-06-02,19430
2016-06-03,2871
2016-06-04,8599
2016-06-05,3496
2016-06-06,16186
2016-06-07,11200
2016-06-08,1755
2016-06-09,1797
2016-06-10,18043
2016-06-11,4219
2016-06-12,16246
2016-06-13,17321
2016-06-14,9736
2016-06-15,18098
2016-06-16,19676
2016-06-17,12723
2016-06-18,12122
2016-06-19,18591
2016-06-20,11368
2016-06-21,7021
2016-06-22,4560
2016-06-23,13676
2016-06-24,19025
2016-06-25,14754
2016-06-26,15879
2016-06-27,15627
2016-06-28,13134
2016-06-29,16115
2016-06-30,9622
2016-07-01,10781
2016-07-02,17298
2016-07-03,13372
2016-07-04,19635
2016-07-05,5420
2016-07-06,14062
2016-07-07,8108
2016-07-08,18455
2016-07-09,15324
2016-07-10,6251
2016-07-11,8012
2016-07-12,10396
2016-07-13,15312
2016-07-14,4918
2016-07-15,10359
2016-07-16,19068
2016-07-17,12491
2016-07-18,16127
2016-07-19,11959
2016-07-20,3957
2016-07-21,5469
2016-07-22,15165
2016-07-23,9752
2016-07-24,10797
2016-07-25,15505
2016-07-26,6795
2016-07-27,18856
2016-07-28,8365
2016-07-29,9448
2016-07-30,4762
2016-07-31,17221
2016-08-01,19819
2016-08-02,2634
2016-08-03,16914
2016-08-04,1973
2016-08-05,11215
2016-08-06,12157
2016-08-07,14824
2016-08-08,3418
2016-08-09,13843
2016-08-10,14242
2016-08-11,4455
2016-08-12,7521
2016-08-13,10123
2016-08-14,11179
2016-08-15,15254
2016-08-16,5305
2016-08-17,19994
2016-08-18,6531
2016-08-19,16041
2016-08-20,5182
2016-08-21,16403
2016-08-22,14160
2016-08-23,16106
2016-08-24,1307
2016-08-25,14392
2016-08-26,15368
2016-08-27,6302
2016-08-28,2152
2016-08-29,9467
2016-08-30,6294
2016-08-31,14866
2016-09-01,14683
2016-09-02,18592
2016-09-03,3492
2016-09-04,16949
2016-09-05,15622
2016-09-06,14592
2016-09-07,1770
2016-09-08,16875
2016-09-09,9286
2016-09-10,12490
2016-09-11,6995
2016-09-12,19728
2016-09-13,14640
2016-09-14,4091
2016-09-15,13895
2016-09-16,4912
2016-09-17,18818
2016-09-18,7594
2016-09-19,8997
2016-09-20,9032
2016-09-21,16620
2016-09-22,9131
2016-09-23,5845
2016-09-24,11838
2016-09-25,4533
2016-09-26,3937
2016-09-27,5939
2016-09-28,10744
2016-09-29,6021
2016-09-30,2134
2016-10-01,17409
2016-10-02,10680
2016-10-03,18340
2016-10-04,2913
2016-10-05,14429
2016-10-06,14907
2016-10-07,3721
2016-10-08,11088
2016-10-09,18312
2016-10-10,16588
2016-10-11,6627
2016-10-12,6446
2016-10-13,1469
2016-10-14,11527
2016-10-15,9717
2016-10-16,19247
2016-10-17,2720
2016-10-18,6272
2016-10-19,17975
2016-10-20,7185
2016-10-21,19706
2016-10-22,16912
2016-10-23,17591
2016-10-24,16115
2016-10-25,15447
2016-10-26,11102
2016-10-27,12052
2016-10-28,16741
2016-10-29,12218
2016-10-30,6103
2016-10-31,3282
2016-11-01,2740
2016-11-02,13579
2016-11-03,6846
2016-11-04,14310
2016-11-05,16037
2016-11-06,3775
2016-11-07,19987
2016-11-08,14928
2016-11-09,7356
2016-11-10,2162
2016-11-11,15006
2016-11-12,16997
2016-11-13,1623
2016-11-14,9962
2016-11-15,2241
2016-11-16,11903
2016-11-17,5403
2016-11-18,18582
2016-11-19,6661
2016-11-20,16939
2016-11-21,11787
2016-11-22,18191
2016-11-23,3121
2016-11-24,13585
2016-11-25,4886
2016-11-26,9922
2016-11-27,16212
2016-11-28,10987
2016-11-29,19207
2016-11-30,16113
2016-12-01,13717
2016-12-02,17583
2016-12-03,2447
2016-12-04,6181
2016-12-05,11581
2016-12-06,12042
2016-12-07,11146
2016-12-08,6208
2016-12-09,7177
2016-12-10,15981
2016-12-11,5863
2016-12-12,19176
2016-12-13,18867
2016-12-14,15626
2016-12-15,9389
2016-12-16,1894
2016-12-17,16440
2016-12-18,1136
2016-12-19,7273
2016-12-20,15627
2016-12-21,14688
2016-12-22,4419
2016-12-23,17552
2016-12-24,7004
2016-12-25,3852
2016-12-26,13464
2016-12-27,10753
2016-12-28,16139
2016-12-29,4186
2016-12-30,19161
2016-12-31,9338
2017-01-01,15676
2017-01-02,3562
2017-01-03,5652
2017-01-04,14173
2017-01-05,14634
2017-01-06,12605
2017-01-07,1423
2017-01-08,1967
2017-01-09,5370
2017-01-10,10052
2017-01-11,1433
2017-01-12,14097
2017-01-13,18813
2017-01-14,13121
2017-01-15,19930
2017-01-16,15299
2017-01-17,17713
2017-01-18,17363
2017-01-19,4968
2017-01-20,2040
2017-01-21,7250
2017-01-22,8704
2017-01-23,7772
2017-01-24,6311
2017-01-25,10411
2017-01-26,13424
2017-01-27,10144
2017-01-28,7011
2017-01-29,9352
2017-01-30,3195
2017-01-31,5680
2017-02-01,6240
2017-02-02,11100
2017-02-03,16168
2017-02-04,11955
2017-02-05,1732
2017-02-06,14088
2017-02-07,13046
2017-02-08,10500
2017-02-09,8444
2017-02-10,14846
2017-02-11,17979
2017-02-12,1647
2017-02-13,13232
2017-02-14,17957
2017-02-15,7797
2017-02-16,6637
2017-02-17,12471
2017-02-18,15799
2017-02-19,6259
2017-02-20,10220
2017-02-21,7567
2017-02-22,5444
2017-02-23,1586
2017-02-24,15132
2017-02-25,8601
2017-02-26,12059
2017-02-27,1739
2017-02-28,6410
2017-03-01,16923
2017-03-02,17030
2017-03-03,17821
2017-03-04,4898
2017-03-05,19231
2017-03-06,10724
2017-03-07,18404
2017-03-08,1941
2017-03-09,12590
2017-03-10,12317
2017-03-11,10008
2017-03-12,19491
2017-03-13,15672
2017-03-14,12834
2017-03-15,18329
2017-03-16,9393
2017-03-17,19189
2017-03-18,16225
2017-03-19,2862
2017-03-20,9742
2017-03-21,4751
2017-03-22,10864
2017-03-23,19424
2017-03-24,1903
2017-03-25,16352
2017-03-26,15297
2017-03-27,6896
2017-03-28,13003
2017-03-29,8942
2017-03-30,10671
2017-03-31,6593
2017-04-01,17322
2017-04-02,8026
2017-04-03,4821
2017-04-04,9472
2017-04-05,2028
2017-04-06,3660
2017-04-07,3353
2017-04-08,8734
2017-04-09,11937
2017-04-10,13695
2017-04-11,2053
2017-04-12,4893
2017-04-13,3679
2017-04-14,12187
2017-04-15,5950
2017-04-16,3665
2017-04-17,7838
2017-04-18,4968
2017-04-19,1851
2017-04-20,6028
2017-04-21,8152
2017-04-22,9769
2017-04-23,1804
2017-04-24,6444
2017-04-25,17496
2017-04-26,2967
2017-04-27,18034
2017-04-28,5333
2017-04-29,2384
2017-04-30,14278
2017-05-01,14867
2017-05-02,1063
2017-05-03,4999
2017-05-04,4988
2017-05-05,19886
2017-05-06,13891
2017-05-07,14731
2017-05-08,3387
2017-05-09,4441
2017-05-10,9010
2017-05-11,14537
2017-05-12,19347
2017-05-13,6763
2017-05-14,8396
2017-05-15,4898
2017-05-16,15705
2017-05-17,17676
2017-05-18,15470
2017-05-19,6346
2017-05-20,5776
2017-05-21,14729
2017-05-22,5122
2017-05-23,1736
2017-05-24,5461
2017-05-25,19355
2017-05-26,12465
2017-05-27,14749
2017-05-28,9389
2017-05-29,14217
2017-05-30,2671
2017-05-31,1606
2017-06-01,19504
2017-06-02,13534
2017-06-03,19115
2017-06-04,16835
2017-06-05,8788
2017-06-06,7246
2017-06-07,6343
2017-06-08,3304
2017-06-09,12909
2017-06-10,4419
2017-06-11,2131
2017-06-12,15281
2017-06-13,19387
2017-06-14,11213
2017-06-15,14704
2017-06-16,19091
2017-06-17,10774
2017-06-18,9192
2017-06-19,8528
2017-06-20,1691
2017-06-21,14862
2017-06-22,19931
2017-06-23,3683
2017-06-24,16456
2017-06-25,7995
2017-06-26,7176
2017-06-27,7598
2017-06-28,6985
2017-06-29,5524
2017-06-30,1827
2017-07-01,11041
2017-07-02,11413
2017-07-03,4204
2017-07-04,1093
2017-07-05,16707
2017-07-06,14713
2017-07-07,3467
2017-07-08,4778
2017-07-09,1404
2017-07-10,6037
2017-07-11,14263
2017-07-12,1375
2017-07-13,17036
2017-07-14,11942
2017-07-15,17881
2017-07-16,10630
2017-07-17,9930
2017-07-18,5515
2017-07-19,7729
2017-07-20,4290
2017-07-21,11167
2017-07-22,2562
2017-07-23,19222
2017-07-24,17080
2017-07-25,15440
2017-07-26,5736
2017-07-27,4466
2017-07-28,5702
2017-07-29,6638
2017-07-30,8853
2017-07-31,16605
2017-08-01,6534
2017-08-02,14839
2017-08-03,15505
2017-08-04,7310
2017-08-05,14621
2017-08-06,3987
2017-08-07,4292
2017-08-08,6801
2017-08-09,12100
2017-08-10,9526
2017-08-11,9292
2017-08-12,19847
2017-08-13,11461
2017-08-14,8676
2017-08-15,8794
2017-08-16,5876
2017-08-17,10961
2017-08-18,10040
2017-08-19,3173
2017-08-20,10354
2017-08-21,7874
2017-08-22,18563
2017-08-23,19880
2017-08-24,3757
2017-08-25,13120
2017-08-26,5047
2017-08-27,19435
2017-08-28,8845
2017-08-29,19131
2017-08-30,12096
2017-08-31,8828
2017-09-01,4868
2017-09-02,5998
2017-09-03,5930
2017-09-04,17988
2017-09-05,4686
2017-09-06,14421
2017-09-07,10545
2017-09-08,1100
2017-09-09,10037
2017-09-10,7037
2017-09-11,16603
2017-09-12,15586
2017-09-13,10497
2017-09-14,17405
2017-09-15,18637
2017-09-16,7102
2017-09-17,4191
2017-09-18,10893
2017-09-19,9063
2017-09-20,19118
2017-09-21,7540
2017-09-22,4418
2017-09-23,9778
2017-09-24,8246
2017-09-25,10022
2017-09-26,16919
2017-09-27,7282
2017-09-28,2337
2017-09-29,4547
2017-09-30,14657
2017-10-01,17771
2017-10-02,6245
2017-10-03,4922
2017-10-04,2221
2017-10-05,15010
2017-10-06,2924
2017-10-07,9901
2017-10-08,9639
2017-10-09,17734
2017-10-10,9856
2017-10-11,9616
2017-10-12,5260
2017-10-13,10393
2017-10-14,4511
2017-10-15,11904
2017-10-16,1673
2017-10-17,2938
2017-10-18,13750
2017-10-19,8303
2017-10-20,19357
2017-10-21,11879
2017-10-22,9529
2017-10-23,11030
2017-10-24,8970
2017-10-25,17499
2017-10-26,6719
2017-10-27,11738
2017-10-28,13910
2017-10-29,6696
2017-10-30,4404
2017-10-31,11825
2017-11-01,5242
2017-11-02,19183
2017-11-03,3691
2017-11-04,10264
2017-11-05,7437
2017-11-06,13404
2017-11-07,10709
2017-11-08,10776
2017-11-09,7253
2017-11-10,11194
2017-11-11,11419
2017-11-12,11801
2017-11-13,12335
2017-11-14,17218
2017-11-15,12697
2017-11-16,6405
2017-11-17,9266
2017-11-18,12585
2017-11-19,7007
2017-11-20,4604
